user_id,game_id,user_level,magic,win,user_style
3b7b1851-8fa1-43dd-9b40-76d37d085142,ec5a82a0-c106-40b7-acbf-0b90f3bf7333,2,False,0,hard
5e333a91-62d5-4c07-b017-25bdee9bd158,d9a513ee-be8f-4025-81a1-4f8c06bf652e,2,False,1,easy
00f7430f-f4aa-4bee-83f0-21ea6ac34dd6,87c83edb-9cb0-4280-9417-2763b39b44c5,3,True,1,hard
cc379bf3-2381-4ec4-81cb-87d823f94642,27fd0dba-424a-4a07-9959-0d584c2fb40f,3,False,1,hard
dbca4926-2dda-4993-b639-5485a1a3c93a,46ff0dba-0145-40e7-bd83-66618b728661,2,False,0,hard
826073ae-4e46-49b6-b7c4-14bd43eb136e,0f39b25e-809b-4533-a765-a130ca759725,4,False,0,hard
a4201a40-dcb7-430b-a8cb-0a61329571b7,4928fee9-96bd-4a0b-be9d-f38db1d00d87,1,False,1,hard
79199616-f926-4214-a094-8388aa4e4498,3f6d30e7-d605-4275-bb6e-513041d9ad33,2,False,0,easy
dc559b1a-bfd8-428e-b264-7cbcea28138b,8c4cc82b-d707-4fc7-bb1a-b6fac01ba754,2,False,0,hard
6732dd52-d24e-4e99-94cd-fd69fa091fde,b05f58e5-530d-4f52-bd77-d9cc665a97d8,5,False,1,easy
46c15094-f995-43fd-9fe0-734f0d4200c6,dfd0fdaf-7e4b-4f07-9e02-6aded9484a25,4,True,1,easy
8b63b27b-1bf1-4b11-9be1-af25ed4507a6,cee0f546-457c-4a75-8c1c-9bd6d5fd3034,3,False,0,hard
8b6b7b4b-0405-46c5-b410-28d57ee02fe5,13800cae-c35f-456d-9ce4-33f2ae33342f,1,False,0,hard
355789f2-3c4e-4ee2-8e4d-3033e8339c91,a0767477-cbf4-4e34-8e2e-c25752ea4fe6,4,False,1,hard
fae8d0fc-54ae-4a16-95ae-cd16ff715bbd,e4ba9a26-8934-4e71-baa7-8893e633ae52,1,True,1,easy
feecb11d-8917-4ba3-80ac-9697a30303be,c2209cd3-6582-4e99-bab1-554339446d72,1,False,1,easy
b92832ea-0729-4e95-bee7-d4587e7f6a6b,f81d445e-9872-4461-a68e-7937ff9f57a7,4,False,1,easy
cdf5aa16-a41d-4a92-a8a7-52f93c201832,16c1ede4-85a2-4212-abea-e90afba45aa6,3,False,1,hard
e44b5863-1200-436f-816a-50cdc0b3b6ce,ae616f05-fe69-4943-abed-73faa7c49a5f,1,False,1,hard
a83a6de9-f20b-40a1-b586-1028ca948103,f9ac81ed-559d-4122-b7d2-81d49103bc72,3,False,0,hard
27e2a7c7-6e16-428b-b284-755a5566f2a2,31468398-ec0b-436a-8da1-9e7f9ea55bbc,3,False,0,easy
111e4acd-fbc0-48ad-809f-cf8b1e697904,11606b01-e1c8-405c-af40-fb9c0a23c93c,3,False,0,hard
d5afcd41-55b0-4c58-8f3e-713a9893621a,b24460a5-f1a7-44cf-a203-fb216a642b39,1,False,0,hard
7672a583-381e-47bf-85b2-75bae805459e,23445ada-288f-4acc-bd32-dffe718e5793,3,True,0,hard
846174f2-7564-4d67-89aa-71e5abbcd1c0,63e6bfc8-47d6-4c26-a899-4efb059a09f3,2,False,1,easy
26cbf885-3b38-4b61-ab9e-a97f6cb7456a,eff7733f-687c-4f58-aa82-efbadcd3c15b,4,False,0,easy
a1d2a6f9-2996-4151-81ec-6d1237639f25,78236060-f3a2-48b7-9ef0-855b36651b99,4,False,1,easy
a506556c-20b5-4b2e-9dc1-05e4ca55c57a,f4050528-83d3-4115-9760-b71e2bbcb397,3,False,0,hard
104d9549-d057-4ce5-818f-5d0538a03f6a,01374b2b-34e8-4259-ba15-f57d3cdbabf6,5,True,0,easy
34d99b2c-c3a7-4953-9951-c5a47da5ea0c,77093551-5d2f-4def-8dd8-608a474cd039,4,False,0,easy
cdbace77-5aee-4869-ad42-5a455218ab0a,27d1bd71-b1c8-4c2a-94d6-c2baed8f9e89,3,True,1,hard
0e030ff0-1c36-4437-98f2-0534481a5268,34d46b14-ced7-462a-930a-2fccf93ec010,3,True,0,easy
7b4938bb-2dbc-4b74-ba00-17dbca9bea68,f75204a2-38d7-4705-90ea-eaa56e97e2d1,3,False,0,hard
37ca052c-cd4a-4ceb-a8dc-e546465a27ff,7f361de6-ecd8-477f-b048-1b13829994a3,3,False,1,hard
8bd60088-5c36-4676-9a54-d4cd9518a9de,5087be3a-7320-42db-8675-940204811715,3,True,0,easy
5292f89a-5c70-4deb-a3f5-a63524ffc4ca,f1cbf7e0-a568-4da8-86d1-e56cac390c1a,3,True,1,hard
0928ebf2-db55-4ba3-95b7-bb22ae57ea0b,43e6a8f6-f6cf-45a4-8e51-11ebe664221c,4,False,0,hard
3d89be49-e10e-4086-ac70-7288fea93635,51af5016-5055-433a-89c3-f9421f24dc7d,5,False,0,hard
e6be4bcb-5d2e-4056-8dcd-a3083b9a2b79,1441f5f0-b3d0-43ab-9a4a-37f208090d70,5,False,1,hard
a429ecab-009c-4d12-89b0-4c7a4c3a77a2,de980f09-5ed4-4ee4-a385-81c098b18bfa,4,False,1,easy
20b43562-8eda-464b-97a2-bb85aac47c96,5018cd77-95c5-43ed-8c43-6f53f56d78e4,2,False,0,hard
9c5483ad-d02e-4420-b095-e5086f87f801,009612dd-b58c-43dd-915a-07d0c35c8e72,1,False,0,easy
e3434f0a-7a5b-4bd4-9a61-5dcf323b0a92,67c69cc7-8677-4833-b400-200a5636180d,3,True,0,easy
0014e232-631e-453a-9bbc-44dcbb8ec82a,e0523212-c4eb-4ef4-a5f6-8cc4c5f715d0,3,False,1,hard
32bb3df5-a69e-40a9-9351-cea42e7b7fc2,609777d1-eacf-4491-af38-8f763ce8d629,2,False,1,hard
cf3426c7-b6c2-4dd8-8188-93499a80306d,1e72bc9c-0723-4426-a348-17059ef3f482,4,False,1,hard
61be5e6a-f736-4c03-9450-8e900911552e,fe2821bc-bae4-4c2c-a776-636409b72be7,3,False,0,easy
a8cc89ab-60e5-4d94-b005-cb22c835f7b4,7a4dfd9b-2488-4f21-842c-889ebd2e6787,1,False,1,hard
54f56184-a7b1-4370-a8b6-bb905b0b7903,c6551620-ed78-49cd-bfc7-8338cf72d853,3,False,0,easy
